character,text,coding
Rosa,"It's whack, and you know it. Their number-one crime is tricycle theft. There's a bakery attached to the precinct. Come on, Santiago. You never would've taken that job, so why'd you even care that they offered it to me?",police_work
Rosa,To be perfectly candid... I like that.,emotion
Rosa,"I'm in a cabin in the middle of nowhere. Inside it's just me and that stupid, slimy defense attorney.",police_work
Rosa,"We installed a second lock on your front door, put locks on the windows by the fire escape, and set all your lights on timers.",personal_life
Rosa,"1,000 push-ups, really?",conversation_glue
Rosa,Oh. It's happening?,conversation_glue
Rosa,"Yeah, till you made the best Thanksgiving meal I've ever had and ruined it.",food
Rosa,You're here late.,conversation_glue
Rosa,We got eyes on the bandit. He's a block away.,police_work
Rosa,"It's so pleasant and boring. But, Holt, at your house, surrounded by these idiots? Guaranteed train wreck. Thanks for the invite. (Smiles)",personal_life
Rosa,Is that a nightgown?,personal_life
Rosa,"What? You can hate people and still think they're hot. Case in point, Manuel Noriega.",romance
Rosa,"Charles, it is not like you to have sex with a total stranger.",romance
Rosa,"Thank you. But never call me ""Ro-ro"" again.",emotion
Rosa,I'll pay for that.,conversation_glue
Rosa,"Don't lie to me, Boyle, or you will be eating your bone marrow custard through a straw.",insult_snark
Rosa,The case of how you got so damn sexy.,romance
Rosa,"Oh, my boyfriend's coming too.",romance
Rosa,He seems like he would.,personal_life
Rosa,"You said 2,000, remember?",conversation_glue
Rosa,"Yeah, who cares about a kiss? Call me if you grab each other's asses. He's pulling over. It's going down.",romance
Rosa,I hope you understand how serious this is to me.,emotion
Rosa,How's that interesting?,insult_snark
Rosa,"Yeah, she's thick.",romance
Rosa,Can't tell you how many nuns I wanted to beat up in catholic school. Ten.,personal_life
Rosa,Good.,conversation_glue
Rosa,"There. Now you’re hurt in this chair. You can get hurt anywhere, Boyle. And if you do, it won’t be because some shoe salesman predicted it. You make your own destiny.",emotion
Rosa,That's not helping!,emotion
Rosa,I'd love to see you date someone from work. Your head would explode.,romance
