character,text,coding
Charles,"Yeah, I know. Check out these doughnuts. Whoo-hoo!",food
Charles,"I-I'm not done hanging out. Let's go to the bar, they serve food there. That's a great idea.",food
Charles,Damn it! This is Jeffrey Dahmer's corduroys all over again.,emotion
Charles,"Oh, wow. That's the best pie I ever had.",food
Charles,What if we wrap his motorcycle in plastic wrap and melt it with a hair dryer? Little trick I learned in gift basket making class.,police_work
Charles,You know I do.,conversation_glue
Charles,International taxes and tariffs... Work.,police_work
Charles,"I put all the trainers' schedules into a shared online calendar. Aside from the cucumber water at the front desk, it's probably my greatest accomplishment ever.",police_work
Charles,Romantic.,romance
Charles,What provided our success.,police_work
Charles,Yep.,conversation_glue
Charles,"I like it. Hey, guys? Guys, I really need your help. My little boy, Brian, my angel, I bought him a short-haired calico after my wife fell into a coma... Motorcycle crash. And now the cat's stuck in a tree.",personal_life
Charles,Coolio. He heads off.,conversation_glue
Charles,"I don't know, I didn't wanna mess up. Because you're sort of... Opinionated.",emotion
Charles,"Damn straight. Wait, why'd high five that?",emotion
Charles,"Oh, none of my pants fit over my butt cast. Lucky for me my mom lent me her leg warmers.",personal_life
Charles,"Hey, Sarge, I need someone to fill out a lineup. Will you be Scary Terry?",police_work
Charles,Good call. Smart. Keep it profesh.,police_work
Charles,"No! I have broad shoulders. I have narrow hips, but broad shoulders. God!",emotion
Charles,I have an idea...,conversation_glue
Charles,"Brian was adopted, so he has abandonment issues. Just struck out at tee-ball last week. Everyone called him ""cryin' Brian.""",personal_life
Charles,"I gave his regular trainer the day off, I told him Trent would be filling in. It was an interesting interaction.",personal_life
Charles,Does it really say that?,conversation_glue
Charles,"Come on, Amy! Loosen up! You look like such a cop! Come on, have some fun, you know? It'll help you blend in! Whoo!",emotion
Charles,"Tommy, can we order some food?",food
Charles,"Wow, that's a lot of yogurt.",food
Charles,"Yeah, you would. You'd be an evil mastermind, and everyone would call you the handsome bandit.",insult_snark
Charles,"Because they like the girls, and that's the only way they know how to get their attention.",romance
Charles,"Ooh, undercover work. I love it. I need more back story. First off, can it be my daughter's cat?",police_work
Charles,"Fine. Let's talk about the cat. Short-hair, long-hair? Tabby?",personal_life
Charles,"For exceptional acts of heroism or voluntary risk of personal safety. But, you know, six of one.",police_work
Charles,We were running calls to pawn shops and then waiting for them to call back.,police_work
Charles,So pretty much the same as what I said.,conversation_glue
Charles,"So great. We're having the best time. Right, Amy?",emotion
Charles,Nice. (Holding coffee),conversation_glue
Charles,Come on!,conversation_glue
